created_at,field1,field2
1981-01-01 00:00:00,0.0,0.71
1981-01-02 00:00:00,0.0,0.7
1981-01-06 00:00:00,0.0,0.69
1981-01-08 00:00:00,0.0,0.68
1981-01-10 00:00:00,0.01,0.67
1981-01-11 00:00:00,0.69,0.67
1981-01-12 00:00:00,1.55,0.68
1981-01-13 00:00:00,0.2,0.66
1981-01-14 00:00:00,0.27,0.66
1981-01-15 00:00:00,0.0,0.66
1981-01-16 00:00:00,0.01,0.65
1981-01-17 00:00:00,0.08,0.65
1981-01-18 00:00:00,0.35,0.65
1981-01-19 00:00:00,0.0,0.64
1981-01-20 00:00:00,0.0,0.63
1981-01-23 00:00:00,0.0,0.62
1981-01-24 00:00:00,0.03,0.62
1981-01-25 00:00:00,0.27,0.62
1981-01-26 00:00:00,0.02,0.62
1981-01-27 00:00:00,0.14,0.62
1981-01-29 00:00:00,0.0,0.61
1981-01-31 00:00:00,0.0,0.6
1981-02-06 00:00:00,1.68,0.6
1981-02-07 00:00:00,6.9,0.66
1981-02-08 00:00:00,0.9,0.62
1981-02-09 00:00:00,0.04,0.61
1981-02-10 00:00:00,0.07,0.6
1981-02-12 00:00:00,0.0,0.59
1981-02-14 00:00:00,0.06,0.59
1981-02-15 00:00:00,0.13,0.59
1981-02-16 00:00:00,0.1,0.59
1981-02-18 00:00:00,0.03,0.59
1981-02-19 00:00:00,0.02,0.59
1981-02-20 00:00:00,0.04,0.58
1981-02-21 00:00:00,0.0,0.58
1981-02-24 00:00:00,0.44,0.59
1981-02-25 00:00:00,0.31,0.58
1981-02-26 00:00:00,0.39,0.58
1981-02-27 00:00:00,0.51,0.58
1981-02-28 00:00:00,0.01,0.57
1981-03-01 00:00:00,0.0,0.56
1981-03-02 00:00:00,0.01,0.55
1981-03-29 00:00:00,0.0,0.55
1981-03-30 00:00:00,0.01,0.54
1981-03-01 00:00:00,0.07,0.53
1981-03-02 00:00:00,0.0,0.52
1981-03-03 00:00:00,0.09,0.51
1981-03-04 00:00:00,5.2,0.55
1981-03-05 00:00:00,2.1,0.6
1981-03-06 00:00:00,0.91,0.58
1981-03-07 00:00:00,0.5,0.56
1981-03-09 00:00:00,0.0,0.53
1981-03-11 00:00:00,0.12,0.51
1981-03-12 00:00:00,1.81,0.52
1981-03-13 00:00:00,4.94,0.54
1981-03-14 00:00:00,33.23,0.73
1981-03-15 00:00:00,1.88,0.64
1981-03-16 00:00:00,0.11,0.61
1981-03-17 00:00:00,0.12,0.59
